id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
6964e880-2d6e-4821-aa74-fa34149e81f7,Deafult project name,no experiment description,,2024-04-18 09:27:33,2.7694499492645264,5.561264491689145e-09,3.478976911859452e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
d7a227e7-40e4-47ea-aa37-ef2ce06636c0,Deafult project name,no experiment description,,2024-04-18 09:27:41,2.629748106002808,5.875192098154275e-09,3.675361546418664e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
b55bcce4-28e8-4a33-a1ac-76f8f1ef73ff,Deafult project name,no experiment description,,2024-04-18 09:31:02,2.6824607849121094,4.9819634697693514e-09,3.1165818336740204e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
52277d14-3ce9-4fa4-afd7-e8af36daec28,Deafult project name,no experiment description,,2024-04-18 09:31:10,2.338972330093384,5.312134080763067e-09,3.323127653305194e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
1e597d46-9775-4495-924c-ee9abbe00906,Deafult project name,no experiment description,,2024-04-18 09:32:36,3.072743654251098,6.9553241283415446e-09,4.351062980939005e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
6951594d-04a0-475d-a8f5-1d8258cce897,Deafult project name,no experiment description,,2024-04-18 09:32:44,2.5783705711364746,4.959091319570134e-09,3.102273634057447e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
3d4217d8-9e1a-41a9-9f3e-7a65366ca027,Deafult project name,no experiment description,,2024-04-18 09:35:04,2.8615314960479736,6.834046637512377e-09,4.27519505716853e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
6c4afe79-a67b-4fd5-903c-bbca44f06f62,Deafult project name,no experiment description,,2024-04-18 09:35:12,4.011266469955444,9.980462818187736e-09,6.2435080665621575e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
9ca4ec38-0b18-4586-aa1a-5a50d84c3d34,Deafult project name,no experiment description,,2024-04-18 09:35:58,2.28536319732666,4.5971717869027406e-09,2.8758665462481077e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
b2bb990e-6960-414e-ba0f-699954f8044a,Deafult project name,no experiment description,,2024-04-18 09:36:06,2.061574697494507,4.51609387843766e-09,2.8251463958158822e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
52ec23fd-eaeb-4497-aae3-fe2b220eba5d,Deafult project name,no experiment description,,2024-04-18 09:44:02,2.433277130126953,4.5604407811576204e-09,2.852888620791115e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
549b898f-919e-427e-878c-df528d81ed92,Deafult project name,no experiment description,,2024-04-18 09:44:10,2.2757956981658936,4.6047092473602314e-09,2.8805817779988822e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
4a2dc95a-5339-4f95-ae25-ddcc1a52f587,Deafult project name,no experiment description,,2024-04-18 09:46:40,3.727083206176758,4.504478443057754e-09,2.817880093058968e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
a22e25de-9b11-408c-8243-06b284bb59e3,Deafult project name,no experiment description,,2024-04-18 09:46:50,4.535439729690552,1.0420008833114273e-08,6.518476185757792e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
6396b080-66d7-43a1-af19-3806d387ec85,Deafult project name,no experiment description,,2024-04-18 09:48:43,2.696371078491211,6.343190577335161e-09,3.968128759035289e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
c2537f4c-b1db-4683-93af-8bdf695df830,Deafult project name,no experiment description,,2024-04-18 09:48:52,2.4773495197296143,6.2760721886613185e-09,3.926141307277427e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
5d0faac2-4289-4f65-b2c0-fc5ab150521b,Deafult project name,no experiment description,,2024-04-18 09:49:51,4.3394389152526855,6.514309564333113e-09,4.075176177088559e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
34965441-87b7-4682-b426-ffce67c4818f,Deafult project name,no experiment description,,2024-04-18 09:50:03,5.3355584144592285,1.1127640303811858e-08,6.9611513277764955e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
92e7378a-49f8-4919-a9c7-7fb389a06220,Deafult project name,no experiment description,,2024-04-18 10:19:16,1.4513490200042725,5.418902140377214e-09,3.389918868662195e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
6cce374f-eb82-4662-a2f8-c7da3446f29b,Deafult project name,no experiment description,,2024-04-18 10:19:25,4.411547183990479,6.442206196576687e-09,4.030070257011068e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
c939c08d-322f-427c-933d-2447b0d8108b,Deafult project name,no experiment description,,2024-04-18 11:07:02,5.474797010421753,9.7489848872101e-09,6.098701722846683e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
