id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
61a8176a-4c75-4bdc-b99c-9a681dbd6319,Deafult project name,no experiment description,,2024-04-18 09:27:22,2.896235704421997,6.526102974930836e-09,4.0825538163364086e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
e95d0c14-4410-429d-957a-9e6bf9e3afdf,Deafult project name,no experiment description,"epoch: 1, param1: 1, param2: 2, ",2024-04-18 09:27:30,1.402536153793335,5.960445240873469e-09,3.728693610668938e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
8c53f226-9cfb-40ef-9efb-40feeacce80a,Deafult project name,no experiment description,,2024-04-18 09:27:37,11.794039964675903,4.093684532272613e-07,2.560898513907375e-07,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
a75fad0f-e20f-4d38-9294-dca15bee674f,Deafult project name,no experiment description,N/A,2024-04-18 09:32:28,2.9759228229522705,1.8280852211015977e-08,1.1436007560201897e-08,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
